EM.CNPJ;EM.RAZAO_SOCIAL;EM.NATUREZA_JURIDICA;EM.QUALIFICACAO_RESP;EM.CAPITAL_SOCIAL;EM.PORTE;EM.ENTE_FEDERATIVO
00056078;CONSULTORIA CONTABIL BINATI & ASSOCIADOS S/S;2232;49;18,18;03;
00877413;BRITTO E GOULART INSTITUTO DE PSICOLOGIA, TREINAMENTO E APERFEICOAMENTO PROFISSIONAL LTDA;2062;49;100000,00;01;
01319019;HORANOBRE COMERCIO DE PNEUS E ACESSORIOS LTDA;2062;49;0,00;01;
01319804;GOVEIA & OLIVEIRA LTDA;2062;49;0,00;05;
01321692;CLINICA AGNELLO S/C LTDA;2240;49;0,00;01;
01323294;ELIZANGELA M. F. SANTOS E CIA LTDA;2062;49;0,00;01;
01323728;ANNUNCIATO ADVOGADOS ASSOCIADOS;2232;49;500,00;05;
01323750;ESCOLINHA DA BETH EDUCACAO INFANTIL S/C LTDA;2240;49;0,00;05;
01323867;TELA CENTER 131 LTDA;2062;49;0,00;01;
01324008;A Q M COMERCIO DE SUCATAS LTDA;2062;49;0,00;05;
01325438;JACARANDA COMERCIO DE PRODUTOS AGROPECUARIOS LTDA;2062;49;0,00;05;
01326515;RDL SERVICOS DE ASSESSORIA TECNICA S/C LTDA;2240;28;0,00;05;
01327708;TECMOLDIN INDUSTRIA DE MATRIZES LTDA;2062;49;700000,00;03;
01328908;TODO DIA MAT PARA CONSTRUCAO E AGROPECUARIA LTDA;2062;49;45000,00;01;
01329472;J & B BIRIGUI INDUSTRIA DE CALCADOS LTDA;2062;49;70000,00;01;
01330758;FLOR E LUCIA MATERIAIS DE CONSTRUCAO LTDA;2062;49;0,00;01;
01331258;CASA DE REPOUSO SANTA BARBARA S/C LTDA;2062;49;0,00;05;
01331543;ASSOCIACAO COMUNITARIA DE PALMEIRAS;3999;16;0,00;05;
01333505;ASSOCIACAO DE PAIS E AMIGOS DOS DEFICIENTES RJ;3999;16;0,00;05;
01333521;WAITIMAN REPRESENTACOES COMERCIAIS LTDA;2062;49;0,00;01;
01334066;DARIO JOSE LIMA & CIA LTDA;2062;49;0,00;05;
01335149;NIXAM - REPRESENTACOES LTDA;2062;49;0,00;05;
01335172;JR COMERCIO DE PRODUTOS VETERINARIOS LTDA;2062;49;0,00;01;
01335201;ASS COM BENEFICIENTE DOS TRAB RURAIS DO ENG BADALEJO;3999;16;0,00;05;
01335545;MN EXPRESS SERVICOS LTDA;2062;49;20000,00;01;
01335583;MARCOS ANTONIO DO PRADO & CIA LTDA;2062;49;0,00;01;
01336257;APP DA ESCOLA ISOLADA CAMPO DA ESTIVA;3999;16;0,00;05;
01337202;PEQUENO SERVICOS AUTOMOTIVOS LTDA;2062;49;5000,00;01;
01338627;STAR PLUS COMPUTERS IMPORTACOES LTDA;2062;49;40000,00;05;
01339514;HIPER MERCADO GOTARDO LTDA;2062;49;8550800,00;05;
01339759;ADONAI ESTACIONAMENTO LTDA;2240;49;0,00;01;
01340188;ADDRESS FORMENTO MERCANTIL LTDA;2062;49;0,00;05;
01340257;IGREJA EVANGELICA PENTECOSTAL A PALAVRA DO DEUS VIVO;3999;16;0,00;05;
01340673;CONSMIC CONSTRUCAO, MANUTENCAO, INDUSTRIA E COMERCIO LTDA;2062;49;0,00;01;
01340810;CAC SERVICOS GERAIS LTDA;2062;49;0,00;01;
01341512;RPM CAMINHOES LTDA;2062;49;0,00;01;
01341936;CHITAL ALUMINIO E FERRO LTDA;2062;49;0,00;01;
01341982;RAMOS & CARVALHO PIRACICABA LTDA;2062;49;3000,00;03;
01342775;CARVALHOS CONSTRUCOES LTDA;2062;49;0,00;05;
01344116;BRANDO E MOURA LTDA;2062;49;0,00;01;
01344542;EDITORA GRAFICA CONTATTO LTDA;2062;49;10000,00;01;
01344881;CPD - CONTABILIDADE LTDA;2062;49;2000,00;01;
01345304;DIRETORIO DO PARTIDO DA FRENTE LIBERAL;3999;16;0,00;05;
01345496;BRASIL COMERCIO E REPRESENTACAO COMERCIAL DE ARTIGOS HOSPITALARES LTDA;2062;49;0,00;01;
01346208;CLINICA ODONTOLOGICA NUNES LTDA;2062;49;0,00;05;
01347165;D & K COMERCIO LTDA;2062;49;0,00;05;
01347485;MARY BLUE BAZAR LTDA;2062;49;0,00;01;
01347956;CONSELHO DELIBERATIVO DA EEPG DOM BOSCO;3999;16;0,00;05;
01349068;ASSOCIACAO BANDA MUSICAL JUBILO CELESTE;3999;16;0,00;05;
01349809;ASSOC COMUN PEQUENOS PRODUTORES FAZENDA FELIZ DESERTO;3999;16;0,00;05;
01350679;CANDIDO MOVEIS E ELETRODOMESTICOS LTDA;2062;49;20000,00;01;
01351219;LAVA JATO TIGER LTDA;2062;49;30000,00;03;
01351316;SERVILO - SERVICOS E LOCACAO LTDA;2062;49;0,00;01;
01351449;DIRETORIO PARTIDO COMUNISTA BRASILEIRO;3999;16;0,00;05;
01351946;TENDA DE UMBANDA MANE BAIANO;3999;16;0,00;05;
01352146;PONCTUALLY MOVEIS E COLCHOES LTDA;2062;49;0,00;01;
01357121;AUDIO LINE COMERCIO DE ACESSORIOS PARA VEICULOS LTDA;2062;49;12000,00;01;
01774678;ELETRO LUIZ COM DE MATERIAIS ELET E DE CONSTRUCAO LTDA;2062;49;0,00;01;
02936310;EZIEL F. GOMES REPRESENTACOES LTDA;2062;49;0,00;05;
