ES.CNPJ_BASICO;ES.CNPJ_ORDEM;ES.CNPJ_DV;ES.IDENT_MATRIZ_FILIAL;ES.NOME_FANTASIA;ES.SITUACAO_CADASTRAL;ES.DATA_SITUACAO_CADASTRAL;ES.MOTIVO_SITUACAO_CADASTRAL;ES.CIDADE_EXTERIOR;ES.PAIS,ES.DATA_INICIO_ATIVIDADE;ES.CNAE_PRINCIPAL;ES.CNAE_SECUNDARIA;ES.TIPO_LOGRADOURO;ES.LOGRADOURO;ES.NUMERO;ES.COMPLEMENTO;ES.BAIRRO;ES.CEP;ES.UF;ES.MUNICIPIO;ES.DDD1;ES.TELEFONE1;ES.DDD2;ES.TELEFONE2;ES.DDD_FAX;ES.FAX;ES.EMAIL;ES.SITUACAO_ESPECIAL;ES.DATA_SITUACAO_ESPECIAL;
04307088;0003;01;2;;08;19960602;01;;;19870603;4120400;4299501;RUA;CODAJAS;100;;CACHOEIRINHA;69079000;AM;0255;;;;;;;;;
20837886;0002;10;2;;04;20210330;63;;;19891213;4530701;;AVENIDA;CAIO MARTINS;1442;;CENTRO;35720000;MG;4821;;;;;;;;;
76263755;0004;93;2;;08;19890515;01;;;19880824;4120400;4299501;RUA;MENINO DEUS;9;;CENTRO;88020210;SC;8105;;;;;;;;;
38127940;0002;08;2;BOINVEST;08;20240703;01;;;19940228;7723300;;RUA;ADEMAR VICENTE FERREIRA;1313;;CENTRO;77804120;TO;9241;;;;;;;;;
75990176;0006;41;2;;08;20190905;01;;;20111228;4930202;;RUA;FIDENCIO CIOLI;S/N;      SALA 10 CAPON CAIS;CARA-CARA;84043500;PR;7777;42;36243233;;;42;36243233;suely@verdescampos.com.br;;
01339514;0010;20;2;HIPER MERCADO GOTARDO;02;20190201;00;;;20190201;4744099;4530703,4530705,4683400,4732600,4744001,4751201,4752100,4753900,4755502,4757100,4759899,4781400,4782201,4789099,5211701;RUA;CESAR AUGUSTO DALSOQUIO;5001;ARMZ  03                  SALA  14E;SALSEIROS;88311558;SC;8161;65;33113901;;;;;JAIME@GOTARDO.COM.BR;;
76104058;0006;51;2;;02;20220204;00;;;20220204;8610101;8610102,8630501,8630502,8630503;RUA;BORTOLO GUSSO;110;;CAPAO RASO;81110200;PR;7535;41;30404040;;;;;JHONNY@FALAVINHA.COM.BR;;
04707195;0004;08;2;FARMINA PET FOODS BRASIL;08;20231229;01;;;20220520;4623109;;RUA;DAS ORQUIDEAS;77;PAVMTOTERREO              SALA  01;ITINGA;89245000;SC;8025;11;40350500;;;;;FISCAL@FARMINA.COM.BR;;
75822882;0002;50;2;PAULO DOEMER MANUTENCAO;02;20240916;00;;;20240916;3312103;7490104,7739002;RUA;ERNESTO BALISTA;424 E;BOX   01;ENGENHO BRAUN;89809320;SC;8081;48;32444271;;;48;32444271;PAULODOEMER@GAMIL.COM;;
01339759;0005;90;2;ADONAI PARK;04;20190111;63;;;20010727;5223100;;RUA;MARIZ E BARROS;1037;;TIJUCA;20270004;RJ;6001;;;;;;;;;
04729590;0003;00;2;;08;20020527;02;;;20011019;0113000;;FAZENDA;SOBRADO;S/N;;ZONA RURAL;13350000;SP;6399;019;34911700;;;019;34915865;fiscal@cosan.com.br;;
20626180;0002;00;2;GAMATEL;08;19830926;01;;;19830209;4789007;;RUA;ITORORO;7;;PADRE EUSTAQUIO;30720450;MG;4123;;;;;;;;;
57763161;0002;35;2;SIGNAL;04;20181023;63;;;19900710;4642701;;RUA;CONS BELISARIO;67;;BRAS;03012000;SP;7107;;;;;;;;;
06910711;0002;60;2;IDEAL PORC - FILIAL;08;20070207;02;;;20040803;0154700;;RODOVIA;BR 163 KM 587 + 45 KM A DIREITA;S/N;FAZ.RIBEIRO DO CEU;ZONA RURAL;78450000;MT;9937;065;3081498;;;065;3082444;VALMIR@GRUPOOTAVIANOPIVETTA.COM.BR;;
01325438;0002;93;2;JACARANDA-DEPOSITO;08;20081231;71;;;19961016;4611700;;RUA;PEDRO CELESTINO;809;;CENTRO;79890000;MS;9089;;;;;;;;;
06879308;0002;16;2;;08;20200213;01;;;19971107;1311100;;AVENIDA;LESTE 3;289;GALPAOC;I DISTRITO INDUSTRIAL;61939080;CE;1585;85;40059210;;;;;lemos@ctn.ind.br;;
20675419;0002;31;2;;08;19870914;01;;;19860918;4774100;;RUA;SANTOS DUMONT;426;;CENTRO;38400060;MG;5403;;;;;;;;;
04740910;0002;42;2;;04;20181016;63;;;20080509;9602501;;RUA;MARTINICO PRADO;26;;VILA BUARQUE;01224010;SP;7107;11;32594089;11;32573548;;;;;
38684767;0002;30;2;TOTAL CONTEINER;02;20140707;00;;;20140707;2930101;2511000;AVENIDA;DR. NELSON DE CASTRO COSTA;33;;DISTRITO INDUSTRIAL DEMERVAL CHAGAS DE A;35540000;MG;4911;31;36213084;;;;;CONTABIL@CONTABILIDADEVESPASIANO.COM.BR;;
02966863;0002;24;2;TEXAS COLCHOES;08;20170809;01;;;20160902;4754702;4754701,4759899;RUA;EDMUNDO BITTENCOURT;101;LOJA  127;VARZEA;25953030;RJ;5915;21;26432869;;;;;;;
01339514;0011;00;2;;02;20210924;00;;;20210924;4744099;4530703,4530705,4683400,4732600,4744001,4751201,4752100,4753900,4755502,4757100,4759899,4781400,4782201,4789099,5211701;AVENIDA;TIRADENTES;5976;QUADRACOMPLETA;PARQUE INDUSTRIAL TANCREDO NEVES;76988006;RO;0013;65;33113900;;;;;HIPER@GOTARDO.COM.BR;;
04707708;0002;19;2;VEGATECH;08;20150209;73;;;20041111;7112000;;RUA;ABIAIL DO AMARAL CARNEIRO;191;SALA 905;ENSEADA DO SUA;29050909;ES;5705;27;33144777;;;27;33144777;;;
38735312;0003;88;2;ENGLISH COMPANY;08;20070216;01;;;19970225;8593700;;RUA;MATO GROSSO;960;SL 901, 902, 903, 904;SANTO AGOSTINHO;30190131;MG;4123;;;;;;;;;
75995431;0004;87;2;LOJA AJE;08;20010313;01;;;19890321;4754701;;RUA;RIACHUELO;245;SALA;CENTRO;80020250;PR;7535;;;;;;;;;
02936310;0001;48;1;;08;20000719;01;;;19981218;4619200;;RUA;XV DE NOVEMBRO;23;SALA 111 A;CENTRO;14140000;SP;6363;;;;;;;;;
06864435;0001;60;1;;08;20041130;01;;;20040706;3099700;;RUA;ALFREDO MAURICIO VARELA;280;;VL. VARELA;08558230;SP;6897;11;47477078;;;11;47482793;lgsouzar@uol.com.br;;
04700819;0001;12;1;;04;20181226;63;;;20010607;6622300;;RUA;ADELIA CASAGRANDE BERTOLOTTI;316;;JARDIM DO VALLE;13347460;SP;6511;19;38944970;;;19;38944970;radawin@terra.com.br;;
04700840;0001;18;1;CENS - CENTRO EDUCACIONAL NOVO SABER;02;20050528;00;;;20011003;8512100;;RUA;ITAMAR JOSE DA LUZ;206;;CENTRO;88370378;SC;8221;47;33191664;;;47;2422489;NOVOSABERESCOLA@BOL.COM.BR;;
